#Time        Beam      DM        SNR       Nhits     
638.042     0         791.00    5.15      1         
77.518      0         778.00    5.15      1         
659.901     0         777.00    5.15      2         
637.576     0         776.00    5.15      2         
402.987     0         797.00    5.15      2         
214.511     0         767.00    5.14      3         
649.579     0         737.00    5.14      1         
650.401     0         722.00    5.14      1         
308.672     0         718.00    5.14      1         
508.287     0         775.00    5.14      3         
616.156     0         782.00    5.14      1         
834.987     0         765.00    5.14      1         
831.847     0         786.00    5.14      3         
692.964     0         760.00    5.14      2         
694.162     0         713.00    5.14      3         
783.369     0         725.00    5.14      1         
110.401     0         760.00    5.13      1         
385.580     0         789.00    5.13      2         
42.625      0         744.00    5.13      2         
137.340     0         751.00    5.13      1         
759.908     0         779.00    5.13      1         
792.112     0         779.00    5.13      1         
550.699     0         725.00    5.13      2         
314.666     0         799.00    5.13      1         
876.453     0         788.00    5.13      1         
320.723     0         786.00    5.13      1         
52.415      0         769.00    5.13      1         
891.340     0         745.00    5.12      3         
605.589     0         718.00    5.12      2         
490.885     0         721.00    5.12      3         
515.196     0         774.00    5.12      1         
548.647     0         734.00    5.12      2         
445.144     0         709.00    5.11      2         
532.053     0         791.00    5.11      1         
535.129     0         752.00    5.11      1         
571.116     0         757.00    5.11      1         
304.037     0         746.00    5.11      1         
13.241      0         789.00    5.11      1         
300.244     0         736.00    5.11      1         
825.475     0         714.00    5.11      1         
809.153     0         717.00    5.10      1         
81.186      0         762.00    5.10      1         
254.998     0         783.00    5.10      1         
259.203     0         790.00    5.10      1         
196.901     0         798.00    5.10      2         
826.949     0         761.00    5.10      1         
555.631     0         781.00    5.10      1         
777.317     0         704.00    5.10      1         
502.243     0         740.00    5.09      1         
848.104     0         793.00    5.09      1         
415.933     0         795.00    5.09      1         
583.686     0         716.00    5.09      2         
162.607     0         784.00    5.09      1         
689.908     0         799.00    5.09      1         
721.037     0         710.00    5.09      1         
84.770      0         736.00    5.09      1         
773.726     0         745.00    5.09      1         
249.154     0         791.00    5.09      1         
143.233     0         716.00    5.08      1         
216.841     0         727.00    5.08      2         
227.487     0         702.00    5.08      1         
499.073     0         720.00    5.08      1         
316.376     0         776.00    5.08      2         
371.310     0         740.00    5.08      1         
153.314     0         738.00    5.07      2         
392.700     0         755.00    5.07      1         
663.498     0         726.00    5.07      1         
520.105     0         728.00    5.07      1         
450.671     0         777.00    5.07      1         
278.016     0         799.00    5.07      1         
239.297     0         743.00    5.07      1         
466.600     0         705.00    5.06      1         
460.085     0         775.00    5.06      1         
291.156     0         751.00    5.06      2         
708.357     0         735.00    5.06      1         
340.639     0         757.00    5.06      1         
99.203      0         767.00    5.06      1         
719.207     0         794.00    5.06      1         
234.516     0         717.00    5.06      1         
720.155     0         734.00    5.06      1         
108.759     0         725.00    5.06      1         
633.545     0         746.00    5.05      1         
289.842     0         786.00    5.05      1         
360.907     0         756.00    5.05      1         
758.186     0         741.00    5.05      1         
762.102     0         727.00    5.05      1         
295.535     0         715.00    5.05      1         
782.815     0         734.00    5.05      1         
812.315     0         770.00    5.05      1         
11.751      0         798.00    5.05      1         
820.544     0         791.00    5.04      1         
330.837     0         757.00    5.04      1         
491.405     0         769.00    5.04      3         
483.687     0         710.00    5.04      1         
698.009     0         736.00    5.04      1         
251.417     0         735.00    5.04      1         
476.679     0         706.00    5.04      1         
148.337     0         790.00    5.04      1         
500.691     0         727.00    5.04      1         
336.780     0         732.00    5.03      2         
175.068     0         759.00    5.03      1         
651.426     0         745.00    5.03      1         
730.460     0         717.00    5.03      1         
440.658     0         703.00    5.03      1         
446.090     0         745.00    5.03      1         
513.652     0         774.00    5.03      1         
65.164      0         722.00    5.03      1         
178.831     0         753.00    5.03      1         
34.602      0         773.00    5.03      1         
334.065     0         792.00    5.03      1         
827.455     0         752.00    5.03      1         
9.685       0         715.00    5.03      1         
865.887     0         736.00    5.03      1         
44.068      0         753.00    5.02      1         
652.682     0         710.00    5.02      1         
58.039      0         767.00    5.02      1         
718.220     0         794.00    5.02      1         
288.540     0         763.00    5.02      1         
367.137     0         713.00    5.02      1         
156.415     0         706.00    5.01      1         
123.241     0         711.00    5.01      1         
682.225     0         778.00    5.01      1         
862.181     0         765.00    5.01      1         
326.295     0         712.00    5.01      1         
608.364     0         782.00    5.01      1         
21.324      0         787.00    5.01      2         
715.305     0         759.00    5.01      1         
359.687     0         714.00    5.01      1         
370.641     0         757.00    5.01      1         
319.412     0         700.00    5.01      1         
518.950     0         747.00    5.01      1         
808.178     0         744.00    5.01      1         
296.098     0         712.00    5.01      1         
465.097     0         769.00    5.01      1         
372.450     0         760.00    5.00      1         
823.659     0         773.00    5.00      1         
600.126     0         745.00    5.00      1         
725.257     0         759.00    5.00      1         
